,type,entry_time,exit_time,entry_price_bnf,exit_price_bnf,entry_price_nft,exit_price_nft,pnl
140,short_bnf-short_nifty,2019-07-04 13:15:00,2019-07-04 15:15:00,11947.15,11938.3,31473.0,31434.65,-1401.2499999999818
141,long_bnf-long_nifty,2019-07-05 09:15:00,2019-07-05 11:15:00,11952.5,11855.5,31555.0,31408.35,-8516.250000000036
142,short_bnf-short_nifty,2019-07-05 13:15:00,2019-07-12 09:15:00,11812.15,11576.75,31487.3,30593.15,-34123.74999999993
143,long_bnf-long_nifty,2019-07-12 11:15:00,2019-07-26 09:15:00,11616.2,11268.8,30733.25,29231.8,-54906.25000000009
144,short_bnf-short_nifty,2019-07-26 11:15:00,2019-07-31 13:15:00,11290.55,11129.45,29289.45,28909.6,-17551.24999999998
145,long_bnf-long_nifty,2019-08-01 09:15:00,2019-08-07 13:15:00,10987.85,10857.5,28540.05,27697.6,-27578.750000000036
146,long_bnf-long_nifty,2019-08-07 15:15:00,2019-08-09 11:15:00,10838.6,11176.3,27655.95,28559.85,39482.49999999989
147,short_bnf-short_nifty,2019-08-09 13:15:00,2019-08-13 11:15:00,11109.85,11052.8,28446.4,28054.65,-12646.250000000055
148,long_bnf-long_nifty,2019-08-13 13:15:00,2019-08-16 13:15:00,10936.25,11050.3,27737.1,28221.15,17803.750000000036
149,short_bnf-short_nifty,2019-08-16 15:15:00,2019-08-20 11:15:00,11042.25,10997.45,28200.55,27884.05,-10152.499999999964
150,long_bnf-long_nifty,2019-08-20 13:15:00,2019-08-21 11:15:00,11016.45,10970.35,27977.1,27902.1,-4180.000000000018
151,long_bnf-long_nifty,2019-08-21 15:15:00,2019-08-26 15:15:00,10919.15,11058.25,27711.6,27978.75,13633.750000000055
152,short_bnf-short_nifty,2019-08-27 09:15:00,2019-08-28 15:15:00,11114.75,11043.85,28154.65,27782.65,-12844.999999999982
153,long_bnf-long_nifty,2019-08-29 09:15:00,2019-09-04 13:15:00,10970.45,10854.45,27523.4,27143.25,-15303.750000000036
154,long_bnf-long_nifty,2019-09-05 11:15:00,2019-09-06 11:15:00,10854.4,10937.7,26944.65,27280.2,12553.750000000036
155,short_bnf-short_nifty,2019-09-06 13:15:00,2019-09-06 15:15:00,10949.3,10940.75,27258.85,27235.85,-1002.4999999999636
156,short_bnf-short_nifty,2019-09-09 11:15:00,2019-09-17 15:15:00,11020.8,10827.6,27542.9,27172.0,-18932.49999999998
157,long_bnf-long_nifty,2019-09-18 09:15:00,2019-09-20 11:15:00,10823.2,11245.45,27163.25,28803.2,62111.250000000015
158,short_bnf-short_nifty,2019-09-20 13:15:00,2019-09-27 09:15:00,11279.95,11512.7,29023.55,29794.45,30910.000000000036
159,long_bnf-long_nifty,2019-09-27 11:15:00,2019-10-09 13:15:00,11541.95,11310.55,29949.95,28771.0,-41043.75000000009
160,short_bnf-short_nifty,2019-10-09 15:15:00,2019-10-10 11:15:00,11318.45,11225.8,28797.2,28078.95,-22588.750000000073
161,long_bnf-long_nifty,2019-10-10 13:15:00,2019-10-15 15:15:00,11233.75,11428.5,27998.25,28559.9,23778.750000000036
162,short_bnf-short_nifty,2019-10-16 11:15:00,2019-10-16 13:15:00,11433.45,11470.95,28470.5,28557.55,4051.249999999982
163,long_bnf-long_nifty,2019-10-16 15:15:00,2019-10-17 11:15:00,11469.2,11518.9,28537.3,28866.05,10703.749999999945
164,short_bnf-short_nifty,2019-10-17 13:15:00,2019-10-24 15:15:00,11593.5,11583.7,28991.25,29129.05,2955.000000000018
165,long_bnf-long_nifty,2019-10-25 09:15:00,2019-10-25 15:15:00,11581.3,11574.95,29170.85,29393.9,5258.7500000001455
166,short_bnf-short_nifty,2019-10-29 09:15:00,2019-10-30 09:15:00,11740.5,11825.75,29775.15,29962.0,8933.749999999964
167,long_bnf-long_nifty,2019-10-31 09:15:00,2019-10-31 11:15:00,11921.75,11919.75,30273.85,30236.15,-1042.4999999999272
